"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"La Haute-Yamaska, Quebec","75,864","76,353","76,924","77,944","79,166","80,193","81,326","82,380","83,411","84,722","85,823","86,453","87,115","87,582","87,969","88,678","89,598","90,563","91,810","93,122","94,747","96,069"
"Acton, Quebec","15,454","15,424","15,418","15,358","15,376","15,409","15,363","15,400","15,402","15,455","15,497","15,549","15,576","15,564","15,665","15,623","15,577","15,638","15,716","15,965","16,271","16,435"
"Drummond, Quebec","89,572","90,109","91,101","91,990","93,130","93,889","94,735","96,073","97,279","98,494","99,659","100,489","101,247","102,064","102,842","103,898","105,219","106,181","107,132","108,292","110,060","111,693"
"Nicolet-Yamaska, Quebec","23,929","23,692","23,429","23,413","23,204","23,125","23,029","22,967","22,979","22,927","22,949","22,985","23,069","23,101","23,140","23,229","23,557","23,687","23,668","23,811","24,222","24,372"
"Maskinongé, Quebec","35,638","35,654","35,662","35,631","35,636","35,810","35,870","35,955","36,118","36,401","36,532","36,526","36,450","36,473","36,440","36,427","36,604","36,667","36,822","36,861","37,512","37,985"
"D'Autray, Quebec","39,174","39,466","39,668","40,130","40,351","40,650","41,050","41,408","41,681","41,804","41,964","42,134","42,192","42,172","42,270","42,368","42,766","43,140","43,448","44,102","45,259","46,382"
"Pierre-De Saurel, Quebec","50,983","50,696","50,633","50,543","50,388","50,173","50,437","50,656","50,858","51,028","51,236","51,189","51,149","51,198","51,122","51,142","51,044","51,115","51,318","51,856","52,727","53,331"
"Les Maskoutains, Quebec","80,482","80,704","80,833","80,928","81,121","81,381","82,084","82,916","83,503","84,508","85,039","85,799","86,138","86,601","86,781","87,618","87,903","88,348","88,918","89,723","90,516","91,534"
"Rouville, Quebec","30,536","30,782","30,967","31,254","31,365","31,735","32,383","33,374","34,361","35,326","36,125","36,221","36,336","36,558","36,600","36,723","37,064","37,248","37,475","37,801","38,204","38,543"
"Le Haut-Richelieu, Quebec","102,751","103,771","105,548","107,113","108,772","109,977","111,342","112,648","113,769","114,744","115,379","115,591","116,325","116,844","117,180","118,002","118,945","119,649","121,045","122,534","123,825","124,792"
"La Vallée-du-Richelieu, Quebec","98,123","99,324","100,955","103,328","105,831","107,979","109,913","112,143","114,195","116,306","117,903","119,721","121,158","122,242","123,559","125,116","126,817","128,583","130,859","132,275","133,340","134,507"
"Longueuil, Quebec","379,478","381,849","384,083","385,874","387,167","388,660","390,122","392,182","395,340","398,831","403,137","405,926","409,656","412,282","414,127","417,816","421,240","426,548","432,468","435,802","435,246","437,453"
"Marguerite-D'Youville, Quebec","65,391","66,455","67,546","68,728","69,727","70,655","71,699","72,302","72,980","74,228","75,146","75,945","76,320","77,019","77,397","77,967","78,475","79,050","79,956","80,843","82,129","82,717"
"L'Assomption, Quebec","105,930","106,295","106,558","107,316","108,696","110,811","113,864","115,995","117,698","119,351","121,030","122,467","123,788","124,364","124,680","125,293","125,847","126,578","127,608","128,681","129,917","131,203"
"Joliette, Quebec","55,305","55,923","56,679","57,616","58,457","58,853","59,535","60,482","61,722","63,157","64,156","64,796","65,781","66,526","66,597","66,729","67,506","68,394","69,277","70,410","71,788","72,984"
"Matawinie, Quebec","44,049","45,526","46,896","47,916","49,016","49,918","49,873","49,847","49,890","50,303","50,127","50,175","50,026","50,047","50,305","50,632","50,996","51,574","52,199","53,483","55,253","56,304"
"Montcalm, Quebec","39,525","39,791","40,262","41,143","42,057","43,112","44,570","45,566","46,618","47,797","48,953","49,739","50,367","51,166","52,157","53,072","54,047","55,062","56,082","57,764","60,372","62,292"
"Les Moulins, Quebec","112,394","114,754","117,590","121,902","126,400","130,509","135,155","139,825","143,732","147,224","150,739","153,614","155,287","156,732","157,741","159,204","161,829","164,210","167,113","169,985","172,543","175,100"
